Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","019","Americas","5910","Export Quantity","01311","Avocados","2008","2008","t","457967","A","Official figure",""
"TCL","Crops and livestock products","019","Americas","5922","Export Value","01311","Avocados","2008","2008","1000 USD","792730","A","Official figure",""
"TCL","Crops and livestock products","019","Americas","5910","Export Quantity","01311","Avocados","2009","2009","t","593881","E","Estimated value",""
"TCL","Crops and livestock products","019","Americas","5922","Export Value","01311","Avocados","2009","2009","1000 USD","1033020","E","Estimated value",""
"TCL","Crops and livestock products","019","Americas","5910","Export Quantity","01311","Avocados","2010","2010","t","549818","E","Estimated value",""
"TCL","Crops and livestock products","019","Americas","5922","Export Value","01311","Avocados","2010","2010","1000 USD","929098","E","Estimated value",""
"TCL","Crops and livestock products","019","Americas","5910","Export Quantity","01311","Avocados","2011","2011","t","577215","E","Estimated value",""
"TCL","Crops and livestock products","019","Americas","5922","Export Value","01311","Avocados","2011","2011","1000 USD","1360461","E","Estimated value",""
"TCL","Crops and livestock products","019","Americas","5910","Export Quantity","01311","Avocados","2012","2012","t","732535","E","Estimated value",""
"TCL","Crops and livestock products","019","Americas","5922","Export Value","01311","Avocados","2012","2012","1000 USD","1283995","E","Estimated value",""
"TCL","Crops and livestock products","019","Americas","5910","Export Quantity","01311","Avocados","2013","2013","t","843880","E","Estimated value",""
"TCL","Crops and livestock products","019","Americas","5922","Export Value","01311","Avocados","2013","2013","1000 USD","1603891","E","Estimated value",""
"TCL","Crops and livestock products","019","Americas","5910","Export Quantity","01311","Avocados","2014","2014","t","1014973.89","A","Official figure",""
"TCL","Crops and livestock products","019","Americas","5922","Export Value","01311","Avocados","2014","2014","1000 USD","2076800","A","Official figure",""
"TCL","Crops and livestock products","019","Americas","5910","Export Quantity","01311","Avocados","2015","2015","t","1201367.19","A","Official figure",""
"TCL","Crops and livestock products","019","Americas","5922","Export Value","01311","Avocados","2015","2015","1000 USD","2280048","A","Official figure",""
"TCL","Crops and livestock products","019","Americas","5910","Export Quantity","01311","Avocados","2016","2016","t","1378671.19","A","Official figure",""
"TCL","Crops and livestock products","019","Americas","5922","Export Value","01311","Avocados","2016","2016","1000 USD","3078114","A","Official figure",""
"TCL","Crops and livestock products","019","Americas","5910","Export Quantity","01311","Avocados","2017","2017","t","1452078.86","A","Official figure",""
"TCL","Crops and livestock products","019","Americas","5922","Export Value","01311","Avocados","2017","2017","1000 USD","4255893","A","Official figure",""
"TCL","Crops and livestock products","019","Americas","5910","Export Quantity","01311","Avocados","2018","2018","t","1736701.69","A","Official figure",""
"TCL","Crops and livestock products","019","Americas","5922","Export Value","01311","Avocados","2018","2018","1000 USD","3751819","A","Official figure",""
"TCL","Crops and livestock products","019","Americas","5910","Export Quantity","01311","Avocados","2019","2019","t","1784577.91","A","Official figure",""
"TCL","Crops and livestock products","019","Americas","5922","Export Value","01311","Avocados","2019","2019","1000 USD","4337954","A","Official figure",""
"TCL","Crops and livestock products","019","Americas","5910","Export Quantity","01311","Avocados","2020","2020","t","1881337.71","A","Official figure",""
"TCL","Crops and livestock products","019","Americas","5922","Export Value","01311","Avocados","2020","2020","1000 USD","4162986","A","Official figure",""
"TCL","Crops and livestock products","019","Americas","5910","Export Quantity","01311","Avocados","2021","2021","t","2107300.62","A","Official figure",""
"TCL","Crops and livestock products","019","Americas","5922","Export Value","01311","Avocados","2021","2021","1000 USD","4787698","A","Official figure",""
"TCL","Crops and livestock products","019","Americas","5910","Export Quantity","01311","Avocados","2022","2022","t","1968498.78","E","Estimated value",""
"TCL","Crops and livestock products","019","Americas","5922","Export Value","01311","Avocados","2022","2022","1000 USD","5058542","E","Estimated value",""
